Variable        Definition  Description
----------------------------------------------------------------------------
ArcDir          mgesc.c     Changed by SET_ARC_DIRECTION escape
bInAppSetup     enable.c    TRUE if AdvancedSetupDialog called
bTTEnabled      enable.c    TRUE if TrueType is active in system
clip_box        control.c   PS Command to set clipping box
CurEnv          devmode.c   Current Environment settings
DevModeBusy     devmode.c   TRUE if inside DM_PROMPT code
dpDefault       enable.c    default GDIINFO structure
gFileName       psoption.c  name of file to write header to
ghInst          enable.c    Instance handle of DLL
ghLastPrinter   getdata.c   Local Handle to last printer returned from GetPrinter
ghwndDlg        dialog.c    window handle used only for Apple Talk
giLastPrinter   getdata.c   index of last printer returned from GetPrinter
giNumPrinters   fonts.c     # of printers in printer directory
gPort           devmode.c   port name passed in by user.
grColors        graph.c     list of colors to return for 3 plane device
grGrays         graph.c     list of grays to return for 3 plane device
hex             psinst.c    "%02x"
hSubTable       profile.c   Local handle to font substitution table
image_proc      dibtodev.c  PS code
matrix          dibtodev.c  PS code
MoveCmd         mgesc.c     Set by BEGIN_PATH / END_PATH escapes
newline         psinst.c    "\n"
OldEnv          devmode.c   Environment on entry to DeviceMode
PrinterFonts    fonts.c     pointer to printer directory
restore         dibtodev.c  PS code
str_def         dibtodev.c  PS code
szAliasRoman    enum.c      alias table for Roman family
szAliasSwiss    enum.c      alias table for Swiss family
szHelpFile      dialog.c    "pscript.hlp"
szModule        enable.c    "PSCRIPT"    
szNull          psinst.c    ""
szRes           psinst.c    ".WPD"
three_vals      dibtodev.c  PS code
XformLevel      mgesc.c     Counter for SAVE_CTM / RESTORE_CTM escapes

