cssattr,prop,propurl,css_desc
|color|,|color|,|/workshop/author/dhtml/reference/properties/color_1.htm|,|Sets or retrieves the color of the text of the &lt;HTML&gt;.|
|background|,|background|,|/workshop/author/dhtml/reference/properties/background_0.htm|,|Sets or retrieves up to five separate background properties of the &lt;HTML&gt;.|
|N/A|,|textDecorationOverline|,|/workshop/author/dhtml/reference/properties/textDecorationOverline.htm|,|Sets or retrieves whether the text in the &lt;HTML&gt; has a line drawn over it.|
|font-size|,|fontSize|,|/workshop/author/dhtml/reference/properties/fontSize.htm|,|Sets or retrieves the size of the font used for text in the &lt;HTML&gt;.|
|N/A|,|textDecorationUnderline|,|/workshop/author/dhtml/reference/properties/textDecorationUnderline.htm|,|Sets or retrieves whether the text in the &lt;HTML&gt; is underlined.|
|letter-spacing|,|letterSpacing|,|/workshop/author/dhtml/reference/properties/letterSpacing.htm|,|Sets or retrieves the amount of additional space between letters in the &lt;HTML&gt;.|
|background-position|,|backgroundPosition|,|/workshop/author/dhtml/reference/properties/backgroundPosition.htm|,|Sets or retrieves the position of the background of the &lt;HTML&gt;.|
|N/A|,|textDecorationLineThrough|,|/workshop/author/dhtml/reference/properties/textDecorationLineThrough.htm|,|Sets or retrieves whether the text in the &lt;HTML&gt; has a line drawn through it.|
|font|,|font|,|/workshop/author/dhtml/reference/properties/font.htm|,|Sets or retrieves up to six separate <B>font</B> properties of the &lt;HTML&gt;.|
|font-family|,|fontFamily|,|/workshop/author/dhtml/reference/properties/fontFamily.htm|,|Sets or retrieves the name of the font used for text in the &lt;HTML&gt;.|
|N/A|,|textDecorationNone|,|/workshop/author/dhtml/reference/properties/textDecorationNone.htm|,|Sets or retrieves whether the <A HREF="/workshop/author/dhtml/reference/properties/textDecoration.htm#textDecoration">textDecoration</A> property for the &lt;HTML&gt; has been set to <SPAN class="clsLiteral">none</SPAN>.|
|cursor|,|cursor|,|/workshop/author/dhtml/reference/properties/cursor.htm|,|Sets or retrieves the type of cursor to display as the mouse pointer moves over the &lt;HTML&gt;.|
|background-color|,|backgroundColor|,|/workshop/author/dhtml/reference/properties/backgroundColor.htm|,|Sets or retrieves the color behind the content of the &lt;HTML&gt;.|
|font-weight|,|fontWeight|,|/workshop/author/dhtml/reference/properties/fontWeight.htm|,|Sets or retrieves the weight of the font of the &lt;HTML&gt;.|
|behavior|,|behavior|,|/workshop/author/dhtml/reference/properties/behavior_1.htm|,|Sets or retrieves the location of the <A HREF="/workshop/author/behaviors/overview.htm">Dynamic HTML (DHTML) behavior</A>.|
|word-spacing|,|wordSpacing|,|/workshop/author/dhtml/reference/properties/wordspacing.htm|,|Sets or retrieves the amount of additional space between words in the &lt;HTML&gt;.|
|text-transform|,|textTransform|,|/workshop/author/dhtml/reference/properties/textTransform.htm|,|Sets or retrieves the rendering of the text in the &lt;HTML&gt;.|
|background-repeat|,|backgroundRepeat|,|/workshop/author/dhtml/reference/properties/backgroundRepeat.htm|,|Sets or retrieves how the <A HREF="/workshop/author/dhtml/reference/properties/backgroundImage.htm">backgroundImage</A> property of the &lt;HTML&gt; is tiled.|
|line-height|,|lineHeight|,|/workshop/author/dhtml/reference/properties/lineHeight.htm|,|Sets or retrieves the distance between lines in the &lt;HTML&gt;.|
|background-image|,|backgroundImage|,|/workshop/author/dhtml/reference/properties/backgroundImage.htm|,|Sets or retrieves the background image of the &lt;HTML&gt;.|
|visibility|,|visibility|,|/workshop/author/dhtml/reference/properties/visibility.htm|,|Sets or retrieves whether the content of the &lt;HTML&gt; is displayed.|
|font-style|,|fontStyle|,|/workshop/author/dhtml/reference/properties/fontStyle.htm|,|Sets or retrieves the font style of the &lt;HTML&gt; as italic, normal, or oblique.|
|background-attachment|,|backgroundAttachment|,|/workshop/author/dhtml/reference/properties/backgroundAttachment.htm|,|Sets or retrieves how the background image is attached to the &lt;HTML&gt; within the document.|
|text-autospace|,|textAutospace|,|/workshop/author/dhtml/reference/properties/textAutospace.htm|,|Sets or retrieves the autospacing and narrow space width adjustment of text.|
|font-variant|,|fontVariant|,|/workshop/author/dhtml/reference/properties/fontVariant.htm|,|Sets or retrieves whether the text of the &lt;HTML&gt; is in small capital letters.|
|text-decoration|,|textDecoration|,|/workshop/author/dhtml/reference/properties/textDecoration.htm|,|Sets or retrieves whether the text in the &lt;HTML&gt; has blink, line-through, overline, or underline decorations.|
