cssattr,prop,propurl,css_desc
|border-top-color|,|borderTopColor|,|/workshop/author/dhtml/reference/properties/borderTopColor.htm|,|Sets or retrieves the color of the top border of the &lt;IFRAME&gt;.|
|width|,|width|,|/workshop/author/dhtml/reference/properties/width_2.htm|,|Sets or retrieves the width of the &lt;IFRAME&gt;.|
|margin-top|,|marginTop|,|/workshop/author/dhtml/reference/properties/marginTop.htm|,|Sets or retrieves the height of the top margin of the &lt;IFRAME&gt;.|
|border-bottom-width|,|borderBottomWidth|,|/workshop/author/dhtml/reference/properties/borderBottomWidth.htm|,|Sets or retrieves the width of the bottom border of the &lt;IFRAME&gt;.|
|border-bottom|,|borderBottom|,|/workshop/author/dhtml/reference/properties/borderBottom.htm|,|Sets or retrieves the properties of the bottom border of the &lt;IFRAME&gt;.|
|N/A|,|pixelTop|,|/workshop/author/dhtml/reference/properties/pixelTop.htm|,|Sets or retrieves the top position of the &lt;IFRAME&gt;.|
|padding-right|,|paddingRight|,|/workshop/author/dhtml/reference/properties/paddingRight.htm|,|Sets or retrieves the amount of space to insert between the right border of the &lt;IFRAME&gt; and the content.|
|float|,|styleFloat|,|/workshop/author/dhtml/reference/properties/float.htm|,|Sets or retrieves on which side of the &lt;IFRAME&gt; the text will flow.|
|display|,|display|,|/workshop/author/dhtml/reference/properties/display.htm|,|Sets or retrieves whether the &lt;IFRAME&gt; is rendered.|
|padding|,|padding|,|/workshop/author/dhtml/reference/properties/padding.htm|,|Sets or retrieves the amount of space to insert between the &lt;IFRAME&gt; and its margin or, if there is a border, between the &lt;IFRAME&gt; and its border.|
|N/A|,|pixelHeight|,|/workshop/author/dhtml/reference/properties/pixelHeight.htm|,|Sets or retrieves the height of the &lt;IFRAME&gt;.|
|margin-right|,|marginRight|,|/workshop/author/dhtml/reference/properties/marginRight.htm|,|Sets or retrieves the width of the right margin of the &lt;IFRAME&gt;.|
|border-right-width|,|borderRightWidth|,|/workshop/author/dhtml/reference/properties/borderRightWidth.htm|,|Sets or retrieves the width of the right border of the &lt;IFRAME&gt;.|
|cursor|,|cursor|,|/workshop/author/dhtml/reference/properties/cursor.htm|,|Sets or retrieves the type of cursor to display as the mouse pointer moves over the &lt;IFRAME&gt;.|
|N/A|,|pixelRight|,|/workshop/author/dhtml/reference/properties/pixelRight.htm|,|Sets or retrieves the right position of the &lt;IFRAME&gt;.|
|behavior|,|behavior|,|/workshop/author/dhtml/reference/properties/behavior_1.htm|,|Sets or retrieves the location of the <A HREF="/workshop/author/behaviors/overview.htm">Dynamic HTML (DHTML) behavior</A>.|
|N/A|,|pixelWidth|,|/workshop/author/dhtml/reference/properties/pixelWidth.htm|,|Sets or retrieves the width of the &lt;IFRAME&gt;.|
|border-top-style|,|borderTopStyle|,|/workshop/author/dhtml/reference/properties/borderTopStyle.htm|,|Sets or retrieves the style of the top border of the &lt;IFRAME&gt;.|
|N/A|,|posTop|,|/workshop/author/dhtml/reference/properties/posTop.htm|,|Sets or retrieves the top position of the &lt;IFRAME&gt; in the units specified by the cascading style sheets (CSS) <A ID="NEXT_TOPIC" HREF="/workshop/author/dhtml/reference/properties/top_0.htm#top">top</A> attribute.|
|bottom|,|bottom|,|/workshop/author/dhtml/reference/properties/bottom_1.htm|,|Sets or retrieves the bottom position of the &lt;IFRAME&gt; in relation to the bottom of the next positioned object in the document hierarchy.|
|visibility|,|visibility|,|/workshop/author/dhtml/reference/properties/visibility.htm|,|Sets or retrieves whether the content of the &lt;IFRAME&gt; is displayed.|
|clip|,|clip|,|/workshop/author/dhtml/reference/properties/clip.htm|,|Sets or retrieves which part of a positioned &lt;IFRAME&gt; is visible.|
|border-left-color|,|borderLeftColor|,|/workshop/author/dhtml/reference/properties/borderLeftColor.htm|,|Sets or retrieves the color of the left border of the &lt;IFRAME&gt;.|
|margin-left|,|marginLeft|,|/workshop/author/dhtml/reference/properties/marginLeft.htm|,|Sets or retrieves the width of the left margin of the &lt;IFRAME&gt;.|
|text-autospace|,|textAutospace|,|/workshop/author/dhtml/reference/properties/textAutospace.htm|,|Sets or retrieves the autospacing and narrow space width adjustment of text.|
|N/A|,|posHeight|,|/workshop/author/dhtml/reference/properties/posHeight.htm|,|Sets or retrieves the height of the &lt;IFRAME&gt; in the units specified by the cascading style sheets (CSS) <A ID="TOPIC_CONTENTS" HREF="/workshop/author/dhtml/reference/properties/height_1.htm#height">height</A> attribute.|
|left|,|left|,|/workshop/author/dhtml/reference/properties/left.htm|,|Sets or retrieves the position of the &lt;IFRAME&gt; relative to the left edge of the next positioned object in the document hierarchy.|
|overflow-x|,|overflowX|,|/workshop/author/dhtml/reference/properties/overflowX.htm|,|Sets or retrieves how to manage the content of the &lt;IFRAME&gt; when the content exceeds the width of the &lt;IFRAME&gt;.|
|N/A|,|pixelLeft|,|/workshop/author/dhtml/reference/properties/pixelLeft.htm|,|Sets or retrieves the left position of the &lt;IFRAME&gt;.|
|overflow-y|,|overflowY|,|/workshop/author/dhtml/reference/properties/overflowY.htm|,|Sets or retrieves how to manage the content of the &lt;IFRAME&gt; when the content exceeds the height of the &lt;IFRAME&gt;.|
|N/A|,|backgroundPositionX|,|/workshop/author/dhtml/reference/properties/backgroundPositionX.htm|,|Sets or retrieves the x-coordinate of the <A HREF="/workshop/author/dhtml/reference/properties/backgroundPosition.htm">backgroundPosition</A> property.|
