cssattr,prop,propurl,css_desc
|border-top-color|,|borderTopColor|,|/workshop/author/dhtml/reference/properties/borderTopColor.htm|,|Sets or retrieves the color of the top border of the &lt;ISINDEX&gt;.|
|N/A|,|textDecorationOverline|,|/workshop/author/dhtml/reference/properties/textDecorationOverline.htm|,|Sets or retrieves whether the text in the &lt;ISINDEX&gt; has a line drawn over it.|
|margin-top|,|marginTop|,|/workshop/author/dhtml/reference/properties/marginTop.htm|,|Sets or retrieves the height of the top margin of the &lt;ISINDEX&gt;.|
|font-size|,|fontSize|,|/workshop/author/dhtml/reference/properties/fontSize.htm|,|Sets or retrieves the size of the font used for text in the &lt;ISINDEX&gt;.|
|N/A|,|textDecorationUnderline|,|/workshop/author/dhtml/reference/properties/textDecorationUnderline.htm|,|Sets or retrieves whether the text in the &lt;ISINDEX&gt; is underlined.|
|border-bottom-width|,|borderBottomWidth|,|/workshop/author/dhtml/reference/properties/borderBottomWidth.htm|,|Sets or retrieves the width of the bottom border of the &lt;ISINDEX&gt;.|
|border-bottom|,|borderBottom|,|/workshop/author/dhtml/reference/properties/borderBottom.htm|,|Sets or retrieves the properties of the bottom border of the &lt;ISINDEX&gt;.|
|page-break-before|,|pageBreakBefore|,|/workshop/author/dhtml/reference/properties/pageBreakBefore.htm|,|Sets or retrieves whether a page break occurs before the &lt;ISINDEX&gt;.|
|letter-spacing|,|letterSpacing|,|/workshop/author/dhtml/reference/properties/letterSpacing.htm|,|Sets or retrieves the amount of additional space between letters in the &lt;ISINDEX&gt;.|
|N/A|,|textDecorationLineThrough|,|/workshop/author/dhtml/reference/properties/textDecorationLineThrough.htm|,|Sets or retrieves whether the text in the &lt;ISINDEX&gt; has a line drawn through it.|
|float|,|styleFloat|,|/workshop/author/dhtml/reference/properties/float.htm|,|Sets or retrieves on which side of the &lt;ISINDEX&gt; the text will flow.|
|font-family|,|fontFamily|,|/workshop/author/dhtml/reference/properties/fontFamily.htm|,|Sets or retrieves the name of the font used for text in the &lt;ISINDEX&gt;.|
|margin-right|,|marginRight|,|/workshop/author/dhtml/reference/properties/marginRight.htm|,|Sets or retrieves the width of the right margin of the &lt;ISINDEX&gt;.|
|border-right-width|,|borderRightWidth|,|/workshop/author/dhtml/reference/properties/borderRightWidth.htm|,|Sets or retrieves the width of the right border of the &lt;ISINDEX&gt;.|
|N/A|,|textDecorationNone|,|/workshop/author/dhtml/reference/properties/textDecorationNone.htm|,|Sets or retrieves whether the <A HREF="/workshop/author/dhtml/reference/properties/textDecoration.htm#textDecoration">textDecoration</A> property for the &lt;ISINDEX&gt; has been set to <SPAN class="clsLiteral">none</SPAN>.|
|behavior|,|behavior|,|/workshop/author/dhtml/reference/properties/behavior_1.htm|,|Sets or retrieves the location of the <A HREF="/workshop/author/behaviors/overview.htm">Dynamic HTML (DHTML) behavior</A>.|
|text-transform|,|textTransform|,|/workshop/author/dhtml/reference/properties/textTransform.htm|,|Sets or retrieves the rendering of the text in the &lt;ISINDEX&gt;.|
|background-repeat|,|backgroundRepeat|,|/workshop/author/dhtml/reference/properties/backgroundRepeat.htm|,|Sets or retrieves how the <A HREF="/workshop/author/dhtml/reference/properties/backgroundImage.htm">backgroundImage</A> property of the &lt;ISINDEX&gt; is tiled.|
|border-top-style|,|borderTopStyle|,|/workshop/author/dhtml/reference/properties/borderTopStyle.htm|,|Sets or retrieves the style of the top border of the &lt;ISINDEX&gt;.|
|background-image|,|backgroundImage|,|/workshop/author/dhtml/reference/properties/backgroundImage.htm|,|Sets or retrieves the background image of the &lt;ISINDEX&gt;.|
|bottom|,|bottom|,|/workshop/author/dhtml/reference/properties/bottom_1.htm|,|Sets or retrieves the bottom position of the &lt;ISINDEX&gt; in relation to the bottom of the next positioned object in the document hierarchy.|
|text-indent|,|textIndent|,|/workshop/author/dhtml/reference/properties/textIndent.htm|,|Sets or retrieves the indentation of the text in the &lt;ISINDEX&gt;.|
|visibility|,|visibility|,|/workshop/author/dhtml/reference/properties/visibility.htm|,|Sets or retrieves whether the content of the &lt;ISINDEX&gt; is displayed.|
|font-style|,|fontStyle|,|/workshop/author/dhtml/reference/properties/fontStyle.htm|,|Sets or retrieves the font style of the &lt;ISINDEX&gt; as italic, normal, or oblique.|
|clip|,|clip|,|/workshop/author/dhtml/reference/properties/clip.htm|,|Sets or retrieves which part of a positioned &lt;ISINDEX&gt; is visible.|
|border-left-color|,|borderLeftColor|,|/workshop/author/dhtml/reference/properties/borderLeftColor.htm|,|Sets or retrieves the color of the left border of the &lt;ISINDEX&gt;.|
|margin-left|,|marginLeft|,|/workshop/author/dhtml/reference/properties/marginLeft.htm|,|Sets or retrieves the width of the left margin of the &lt;ISINDEX&gt;.|
