ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|javaEnabled|,|/workshop/author/dhtml/reference/methods/javaEnabled.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Returns whether Java is enabled.|
|null|,|taintEnabled|,|/workshop/author/dhtml/reference/methods/taintEnabled.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Returns whether data tainting is enabled.|
|null|,|plugins|,|/workshop/author/dhtml/reference/collections/plugins_0.htm|,32,|null|,|/workshop/graphics/collection.gif|,1,|Retrieves a collection of all <A HREF="/workshop/author/dhtml/reference/objects/EMBED.htm#EMBED">EMBED</A> objects within the document.|
|null|,|appCodeName|,|/workshop/author/dhtml/reference/properties/appCodeName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the code name of the browser.|
|null|,|appMinorVersion|,|/workshop/author/dhtml/reference/properties/appMinorVersion.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the application's minor version value.|
|null|,|appName|,|/workshop/author/dhtml/reference/properties/appName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the name of the browser.|
|null|,|appVersion|,|/workshop/author/dhtml/reference/properties/appVersion.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the platform and version of the browser.|
|null|,|browserLanguage|,|/workshop/author/dhtml/reference/properties/browserLanguage.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the current browser language.|
|null|,|cookieEnabled|,|/workshop/author/dhtml/reference/properties/cookieEnabled.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,11,|Retrieves whether client-side cookies are enabled in the browser.|
|null|,|cpuClass|,|/workshop/author/dhtml/reference/properties/cpuClass.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves a string denoting the CPU class.|
|null|,|onLine|,|/workshop/author/dhtml/reference/properties/onLine.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,11,|Retrieves whether the system is in <A HREF="/workshop/components/offline/offline.htm#ch_offlinebrowsing">global offline mode</A>.|
|null|,|platform|,|/workshop/author/dhtml/reference/properties/platform.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the name of the user's operating system.|
|null|,|systemLanguage|,|/workshop/author/dhtml/reference/properties/systemLanguage.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the default language used by the system.|
|null|,|userAgent|,|/workshop/author/dhtml/reference/properties/userAgent.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves a string equivalent to the HTTP user-agent request header.|
|null|,|userLanguage|,|/workshop/author/dhtml/reference/properties/userLanguage.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the current user language.|
|null|,|userProfile|,|/workshop/author/dhtml/reference/objects/userProfile.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,1,|Provides methods that allow a script to request read access to and perform read actions on a user's profile information.|
