Title,Artist
"Gasoline",Swamp Mama Johnson
"Couldn't Stand the Weather",Stevie Ray Vaughan
"Fumbling toward Ecstasy",Sarah McLaughlin
"So Long, So Wrong",Alison Kraus and Union Station
"Indigo Girls",Indigo Girls
"Beatles: Live at the BBC",Beatles
"From the Cradle",Eric Clapton
"School House Rocks Rocks",Various Artists
"Walking on a Wire",Lowen and Navarro
"A Love Supreme",John Coltrane Quartet
"Softly As I Leave You",Frank Sinatra
"I Remember Tommy",Frank Sinatra
"Jimmy Dorsey - Greatest Hits",Jimmy Dorsey
"Time Signatures:  A Career Retrospective",Dave Brubeck
"Peter Nero & Friends - It Had to Be You",Various Artists
"The Verve Story 1944-1994",Various Artists
"Benny Goodman Volume 6:  Rainbow Grill '66 and '67",Benny Goodman
"The Best of Art Blakey and the Jazz Messengers",Art Blakey
"Artie Shaw and His Orchestra 1949",Artie Shaw
"Great Moments in Jazz",Various Artists
"Swing That Music",Various Artists
"A Man and His Music",Frank Sinatra
"The Glenn Miller Collection",Glenn Miller
"It Might As Well be Swing",Various Artists
"Ray Charles - Genius + Soul = Jazz",Ray Charles
"Dion and the Belmonts - Their Best",Dion
"The Best of the Monkees",The Monkees
"Mario Lanza - The Legendary Tenor",Mario Lanza
"Gershwin Greatest Hits",Gershwin
"Peter Nero Plays the Music of Duke Ellington",Peter Nero
"The Will to Swing",Oscar Peterson
"The Popular Recordings",Glenn Miller
"Ella Fitzgerald and Louis Armstrong: Ella and Louis",Ella Fitzgerald/Louis Armstrong
"Ella Fitzgerald and Louis Armstrong: Ella and Louis Again",Ella Fitzgerald/Louis Armstrong
"The Oscar Peterson Trio:  We Get Requests",Oscar Peterson
"Oscar Peterson and the Trumpet Kings",Oscar Peterson
"The Complete Young Oscar Peterson",Oscar Peterson
"Frank Sinatra:  September of My Years",Frank Sinatra
"The Frank Sinatra Collection",Frank Sinatra
"The Oscar Peterson Trio:  A Jazz Portrait of Frank Sinatra",Oscar Peterson
"Verve Jazz Masters",Stephane Grappelli  
"Queen Ida's Greatest Hits",Queen Ida
"Slide of Hand",Roy Rogers
"Gish",Smashing Pumpkins
"Best Blues and Originals",Rory Block
