event, bubbles:BOOLEAN, cancancel:BOOLEAN, applies,Vers
'onbeforeupdate',TRUE,TRUE,'bound elements','4.0'
'onafterupdate',TRUE,FALSE,'bound elements','4.0'
'onrowenter',TRUE,FALSE,'DSO','4.0'
'onrowexit',TRUE,TRUE,'DSO','4.0'
'onbeforeunload',FALSE,FALSE,'window','4.0'
'ondataavailable',TRUE,FALSE,'DSO','4.0'
'ondatasetcomplete',TRUE,FALSE,'DSO','4.0'
'ondatasetchanged',TRUE,FALSE,'DSO','4.0'
'onerrorupdate',TRUE,TRUE,'bound elements','4.0'
'onreadystatechange',TRUE,FALSE,'DSO','4.0'
'oncellchange',TRUE,FALSE,'DSO','5.0'
'onrowsinserted',TRUE,FALSE,'DSO','5.0'
'onrowsdelete',TRUE,FALSE,'DSO','5.0'
