ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|DAY|,|day|,|/workshop/author/behaviors/library/calendar/day.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Returns the selected day for the calendar behavior.|
|DAYLENGTH|,|dayLength|,|/workshop/author/behaviors/library/calendar/dayLength.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Sets or retrieves the length of the days for the calendar behavior.|
|FIRSTDAY|,|firstDay|,|/workshop/author/behaviors/library/calendar/firstDay.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the day of the week to display in the first column for the calendar behavior.|
|GRIDCELLEFFECT|,|gridCellEffect|,|/workshop/author/behaviors/library/calendar/gridCellEffect.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Specifies how the grid lines are rendered for the calendar behavior.|
|GRIDLINESCOLOR|,|gridLinesColor|,|/workshop/author/behaviors/library/calendar/gridLinesColor.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Specifies the color of the grid lines for the calendar behavior.|
|MONTH|,|month|,|/workshop/author/behaviors/library/calendar/month.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Specifies the current month for the calendar behavior.|
|MONTHLENGTH|,|monthLength|,|/workshop/author/behaviors/library/calendar/monthLength.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Specifies the length of the month names for the calendar behavior.|
|READONLY|,|readOnly|,|/workshop/author/behaviors/library/calendar/readOnly.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Sets or retrieves whether the keyboard and mouse are disabled for the calendar behavior.|
|SHOWDATESELECTORS|,|showDateSelectors|,|/workshop/author/behaviors/library/calendar/showDateSelectors.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Sets or retrieves whether the date selectors should be displayed for the calendar behavior.|
|SHOWDAYS|,|showDays|,|/workshop/author/behaviors/library/calendar/showDays.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Sets or retrieves whether the days of the week should be displayed for the calendar behavior.|
|SHOWHORIZONTALGRID|,|showHorizontalGrid|,|/workshop/author/behaviors/library/calendar/showHorizontalGrid.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Sets or retrieves whether horizontal grid lines are displayed for the calendar behavior.|
|SHOWTITLE|,|showTitle|,|/workshop/author/behaviors/library/calendar/showTitle.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Sets or retrieves whether the month and year are displayed as a title for the calendar behavior.|
|SHOWVERTICALGRID|,|showVerticalGrid|,|/workshop/author/behaviors/library/calendar/showVerticalGrid.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Sets or retrieves whether vertical grid lines are displayed for the calendar behavior.|
|VALUE|,|value|,|/workshop/author/behaviors/library/calendar/value.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the current date for the calendar behavior.|
|VALUEISNULL|,|valueIsNull|,|/workshop/author/behaviors/library/calendar/valueIsNull.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,1,|Sets or retrieves whether the current date is selected for the calendar behavior.|
|YEAR|,|year|,|/workshop/author/behaviors/library/calendar/year.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the current year for the calendar behavior.|
|null|,|onchange|,|/workshop/author/behaviors/library/calendar/onchange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the date is changed for the calendar behavior.|
|null|,|onpropertychange|,|/workshop/author/behaviors/library/calendar/onpropertychange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when a property value is changed for the calendar behavior.|
