cssattr,prop,propurl,css_desc
|direction|,|direction|,|/workshop/author/dhtml/reference/properties/direction_1.htm|,|Sets or retrieves the reading order of the specified &lt;BDO&gt;.|
|overflow|,|overflow|,|/workshop/author/dhtml/reference/properties/overflow.htm|,|Sets or retrieves how to manage the content of the &lt;BDO&gt; when the content exceeds the height and/or width of the &lt;BDO&gt;.|
|position|,|position|,|/workshop/author/dhtml/reference/properties/position.htm|,|Retrieves the type of positioning used for the &lt;BDO&gt;.|
|padding-right|,|paddingRight|,|/workshop/author/dhtml/reference/properties/paddingRight.htm|,|Sets or retrieves the amount of space to insert between the right border of the &lt;BDO&gt; and the content.|
|display|,|display|,|/workshop/author/dhtml/reference/properties/display.htm|,|Sets or retrieves whether the &lt;BDO&gt; is rendered.|
|padding|,|padding|,|/workshop/author/dhtml/reference/properties/padding.htm|,|Sets or retrieves the amount of space to insert between the &lt;BDO&gt; and its margin or, if there is a border, between the &lt;BDO&gt; and its border.|
|unicode-bidi|,|unicodeBidi|,|/workshop/author/dhtml/reference/properties/unicodeBidi.htm|,|Sets or retrieves the level of embedding with respect to the bidirectional algorithm.|
|padding-left|,|paddingLeft|,|/workshop/author/dhtml/reference/properties/paddingLeft.htm|,|Sets or retrieves the amount of space to insert between the left border  of the &lt;BDO&gt; and the content.|
|layout-grid|,|layoutGrid|,|/workshop/author/dhtml/reference/properties/layoutGrid.htm|,|Sets or retrieves the composite document grid properties that specify the layout of text characters.|
|clip|,|clip|,|/workshop/author/dhtml/reference/properties/clip.htm|,|Sets or retrieves which part of a positioned &lt;BDO&gt; is visible.|
|layout-grid-mode|,|layoutGridMode|,|/workshop/author/dhtml/reference/properties/layoutGridMode.htm|,|Sets or retrieves whether the text layout grid uses two dimensions.|
|padding-top|,|paddingTop|,|/workshop/author/dhtml/reference/properties/paddingTop.htm|,|Sets or retrieves the amount of space to insert between the top border of the &lt;BDO&gt; and the content.|
|text-autospace|,|textAutospace|,|/workshop/author/dhtml/reference/properties/textAutospace.htm|,|Sets or retrieves the autospacing and narrow space width adjustment of text.|
|overflow-x|,|overflowX|,|/workshop/author/dhtml/reference/properties/overflowX.htm|,|Sets or retrieves how to manage the content of the &lt;BDO&gt; when the content exceeds the width of the &lt;BDO&gt;.|
|padding-bottom|,|paddingBottom|,|/workshop/author/dhtml/reference/properties/paddingBottom.htm|,|Sets or retrieves the amount of space to insert between the bottom border of the &lt;BDO&gt; and the content.|
|overflow-y|,|overflowY|,|/workshop/author/dhtml/reference/properties/overflowY.htm|,|Sets or retrieves how to manage the content of the &lt;BDO&gt; when the content exceeds the height of the &lt;BDO&gt;.|
