ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|assign|,|/workshop/author/dhtml/reference/methods/assign.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Loads a new HTML document.|
|null|,|reload|,|/workshop/author/dhtml/reference/methods/reload.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Reloads the current page.|
|null|,|replace|,|/workshop/author/dhtml/reference/methods/replace.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Replaces the current document by loading the document at the specified URL.|
|null|,|hash|,|/workshop/author/dhtml/reference/properties/hash.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the subsection of the <A HREF="/workshop/author/dhtml/reference/properties/href_1.htm#href">href</A> property that follows the hash (#) mark.|
|null|,|host|,|/workshop/author/dhtml/reference/properties/host.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the <A HREF="/workshop/author/dhtml/reference/properties/hostname.htm#hostname">hostname</A> and <A HREF="/workshop/author/dhtml/reference/properties/port.htm#port">port</A> number of the location or URL.|
|null|,|hostname|,|/workshop/author/dhtml/reference/properties/hostname.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the host name part of the location or URL.|
|null|,|href|,|/workshop/author/dhtml/reference/properties/href_3.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the entire URL as a string.|
|null|,|pathname|,|/workshop/author/dhtml/reference/properties/pathname.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the file name or path specified by the location object.|
|null|,|port|,|/workshop/author/dhtml/reference/properties/port.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the port number associated with a URL.|
|null|,|protocol|,|/workshop/author/dhtml/reference/properties/protocol.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the protocol portion of a URL.|
|null|,|search|,|/workshop/author/dhtml/reference/properties/search.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the substring of the <A HREF="/workshop/author/dhtml/reference/properties/href_3.htm#href">href</A> property that follows the question mark.|
