|tech_name:STRING|,|tech_type:STRING|,|tech_image:STRING|,|new_val_desc:STRING|
|Document Object Model|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>The <A HREF="/workshop/author/dom/domoverview.htm">Document Object Model</A> (DOM) represents the Web document structure and provides ready access to all parts of any document. Web authoring that uses the DOM makes cross-platform scripting more reliable and extensible. You'll find the DOM references incorporated into the <A HREF="/workshop/author/dhtml/reference/dhtmlrefs.htm">DHTML references</A> in Workshop. For more information, see the <A HREF="http://www.w3.org/TR/REC-DOM-Level-1/" TARGET="_top">W3C DOM Specification</A>&nbsp;<IMG SRC="/msdn-online/shared/graphics/leave-ms.gif" WIDTH="33" HEIGHT="11" BORDER="0" ALT="Non-MS link">.</P>|
|HTML Applications|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>The power to build <A HREF="/workshop/author/hta/overview/htaoverview.htm">HTML Applications</A> (HTA) brings Internet Explorer 5 to the forefront as a viable Microsoft&#174; Windows&#174; development platform. HTAs are full-fledged applications. These applications are trusted and display only the menus, icons, toolbars, and title information that the Web developer creates. In short, HTAs pack all the power of Internet Explorer&#151;its object model, protocol support, rendering power, and channel-download technology&#151;without enforcing the strict security model and user interface of the browser.</P>|
|HTML+Time|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>Learn how to add timelines to your HTML pages and synchronize multimedia elements with <A HREF="/workshop/author/behaviors/time.htm" TARGET="_top">HTML+TIME</A>. This new technology allows you to easily create complex, interactive, HTML-based multimedia presentations.</P>|
|Custom tags|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>Beginning with Internet Explorer 5, Web authors can create <A HREF="/workshop/author/dhtml/reference/objects/custom.htm">custom</A> elements in an HTML document. For example, in the absence of a predefined &lt;JUSTIFY&gt; tag in HTML that justifies the contained text within a specified width, you could define your own &lt;JUSTIFY&gt; tag in your document.</P>|
|Redirect filter|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|The <A HREF="/workshop/author/filter/reference/filters/redirect.htm">redirect</A> filter converts an object into a DAImage object that can be manipulated using Microsoft&#174; DirectAnimation&#153;.|
|Data transfer|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>Web developers now can incorporate more of the typical UI behaviors that users have come to expect of software applications. The extensive DHTML data-transfer implementation in Internet Explorer 5 enables everything from drag-and-drop editing to cut/copy/paste behavior through the shortcut menu. For more information, see the <A HREF="/workshop/author/datatransfer/overview.htm">Data Transfer Overview</A>.</P>|
|Mouse capture|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>New mouse capture functionality speeds the process of creating menus and context menus in Internet Explorer 5. The <A href="/workshop/author/dhtml/reference/methods/releaseCapture.htm">releaseCapture</A> and <A href="/workshop/author/dhtml/reference/methods/setCapture.htm">setCapture</A> methods and the <A href="/workshop/author/dhtml/reference/events/onlosecapture.htm">onlosecapture</A> event allow the Web developer to designate one object to fire all mouse events for the document. The <A href="/workshop/author/dhtml/reference/events/oncontextmenu.htm">oncontextmenu</A> gives Web authors control over shortcut menus as well. Mouse capture features are outlined in the <A HREF="/workshop/author/dhtml/overview/MouseCapture.htm">Mouse Capture Overview</A>.</P>|
|Scroll bars|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>Web page navigation now goes beyond the <A HREF="/workshop/author/dhtml/reference/events/onscroll.htm">onscroll</A> event of Internet Explorer 4.0. Web authors can identify scrolling components with the <A href="/workshop/author/dhtml/reference/methods/componentFromPoint.htm">componentFromPoint</A> method and move them using the <A href="/workshop/author/dhtml/reference/methods/doScroll.htm">doScroll</A> method.</P><P>Access to the scrolling components makes it possible to respond programmatically to in-page navigation. Moreover, accessibility-related hardware, such as screen readers, now relay more navigational information to users with special needs.</P>|
|DHTML behaviors|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P><A href="/workshop/author/behaviors/overview.htm">DHTML behaviors</A> are simple, lightweight components that, when applied to standard HTML elements through style sheets, can enhance the elements' default behavior. Behaviors provide easy separation of script from content on a page, facilitating code reuse across multiple pages while also improving overall manageability of the page.</P><P>Internet Explorer 5 contains several default behaviors, including <A href="/workshop/author/clientcaps/overview.htm">CLIENTCAPS</A>, <A href="/workshop/author/persistence/overview.htm">persistence</A>, <A href="/workshop/author/behaviors/reference/behaviors/homepage.htm">HOMEPAGE</A>, and more.</P><P>An entire <A HREF="/workshop/author/behaviors/library/behaviorslibrary.htm">DHTML behaviors library</A> is available separately for use with Internet Explorer 5. These behaviors provide some of the most requested functionality for Web pages. You can download directly from each reference page the source code for the behaviors in this library. The individual behavior definitions include the custom properties, methods, and events exposed by these behaviors.</P><P>HTML Components (HTC) are the hottest new thing for behaviors in Internet Explorer. HTCs provide a mechanism for implementing DHTML behaviors in script. Saved with an .htc extension, an HTC file is much like an HTML file that contains scripts and a set of HTC-specific XML elements, objects, methods, and events that define the component. To enhance your behavior-writing process, see the <A HREF="/workshop/components/htc/reference/htcref.htm">HTC Reference</A>.</P></td></tr>|
|Client capabilities|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>The <a href="/workshop/author/behaviors/reference/behaviors/CLIENTCAPS.htm">CLIENTCAPS</a> behavior retrieves information about the client's browser. Client capabilities have been associated with the back-end strength of a Common Gateway Interface (CGI) script or server solution. By utilizing browser-based client capabilities, a Web author does not need to devote either processor or server-side development time to achieve what now can be handled on the client.</P><P>In addition to providing information about Internet Explorer-supported features, the <A HREF="/workshop/author/behaviors/reference/behaviors/CLIENTCAPS.htm">CLIENTCAPS</A> behavior allows Web authors to install browser components using the following new methods: <A HREF="/workshop/author/behaviors/reference/methods/addComponentRequest.htm">addComponentRequest</A>, <A HREF="/workshop/author/behaviors/reference/methods/doComponentRequest.htm">doComponentRequest</A>, <A HREF="/workshop/author/behaviors/reference/methods/clearComponentRequest.htm">clearComponentRequest</A>, <A HREF="/workshop/author/behaviors/reference/methods/compareVersions.htm">compareVersions</A>, <A HREF="/workshop/author/behaviors/reference/methods/getComponentVersion.htm">getComponentVersion</A>, and <A HREF="/workshop/author/behaviors/reference/methods/isComponentInstalled.htm">isComponentInstalled</A>.</P>|
