article,banner
'/workshop/samples/author/databind/graphics/dkhawsh.gif','How about a Hawaiian shirt?'
'/workshop/samples/author/databind/graphics/palmsh.gif','You would look absolutely <SPAN STYLE="font-style:italic">marvelous</SPAN> in palm trees.'
'/workshop/samples/author/databind/graphics/purhood.gif','Protect yourself from the <SPAN STYLE="color:yellow">sun</SPAN> in this purple hooded sweatshirt.'
'/workshop/samples/author/databind/graphics/shirt1.gif','How about vertical stripes?'
'/workshop/samples/author/databind/graphics/shoes1.gif','Those are  <SPAN STYLE="text-decoration:underline">100%</SPAN> leather.'
'/workshop/samples/author/databind/graphics/tigersh.gif','Here there be tigers.</SPAN>'
'/workshop/samples/author/databind/graphics/bluesw.gif','Our sweatshirts are pre-shrunk 100% cotton.'
'/workshop/samples/author/databind/graphics/pants1.jpg','The <SPAN STYLE="background:blue">jeans</SPAN> were made just for you.'
'/workshop/samples/author/databind/graphics/pants2.jpg','Corduroy is in.'
'/workshop/samples/author/databind/graphics/pants3.jpg','Try before you buy. 100% guaranteed.'
'/workshop/samples/author/databind/graphics/redturtl.jpg','You could set the world on fire in this.'
'/workshop/samples/author/databind/graphics/shirt2.jpg','How about some horizontal stripes?'
'/workshop/samples/author/databind/graphics/shirt3.jpg','You could be a world class goal-keeper in this.'
