Position:INT,Symbol,FullName,Period,Group
1,H,Hydrogen,1,1
2,He,Helium,1,18
3,Li,Lithium,2,1
4,Be,Beryllium,2,2
5,B,Boron,2,13
6,C,Carbon,2,14
7,N,Nitrogen,2,15
8,O,Oxygen,2,16
9,F,Fluorine,2,17
10,Ne,Neon,2,18
11,Na,Sodium,3,1
12,Mg,Magnesium,3,2
13,Al,Aluminum,3,13
14,Si,Silicon,3,14
15,P,Phosphorus,3,15
16,S,Sulfur,3,16
17,Cl,Chlorine,3,17
18,Ar,Argon,3,18
19,K,Potassium,4,1
20,Ca,Calcium,4,2
21,Sc,Scandium,4,3
22,Ti,Titanium,4,4
23,V,Vanadium,4,5
24,Cr,Chromium,4,6
25,Mn,Manganese,4,7
26,Fe,Iron,4,8
27,Co,Cobalt,4,9
28,Ni,Nickel,4,10
29,Cu,Copper,4,11
30,Zn,Zinc,4,12
31,Ga,Gallium,4,13
32,Ge,Germanium,4,14
33,As,Arsenic,4,15
34,Se,Selenium,4,16
35,Br,Bromine,4,17
36,Kr,Krypton,4,18
37,Rb,Rubidium,5,1
38,Sr,Strontium,5,2
39,Y,Yttrium,5,3
40,Zr,Zirconium,5,4
41,Nb,Niobium,5,5
42,Mo,Molybdenum,5,6
43,Tc,Technetium,5,7
44,Ru,Ruthenium,5,8
45,Rh,Rhodium,5,9
46,Pd,Palladium,5,10
47,Ag,Silver,5,11
48,Cd,Cadmium,5,12
49,In,Indium,5,13
50,Sn,Tin,5,14
51,Sb,Antimony,5,15
52,Te,Tellurium,5,16
53,I,Iodine,5,17
54,Xe,Xenon,5,18
